SampleID,Visit,Category,WaterPotential_MPa,Tin_wt,other tin wt?,Wet_wt,Dry_wt,% Moisture,Total N,Total C,C/N Ratio,OM- crucible wt,OM- before,OM- after,"OM, % LOI",pH,EC original read,EC dilution,EC,NH4,NO3,P
36,B,Untreated,-1.18,1.0465,,6.5182,4.8961,42.1,0.184,7.711,41.8407,20.7027,23.7428,23.638,3.4,8.015,2.919,,2.919,3.654,1.4631,46.28
37,B,Untreated,-1.33,1.0489,,8.2247,6.019,44.4,0.238,8.3,34.8604,21.0131,24.0588,23.9615,3.2,8.127,4.917,,4.917,2.423,0.8347,39.58
38,B,Native,-0.57,1.06,,8.6683,5.1897,84.2,0.163,7.54,46.1575,22.1231,25.1421,25.0558,2.9,7.983,2.68,,2.68,2.8609,0.0496,27.37
39,B,Native,-0.86,1.2707,,7.5778,4.9315,72.3,0.15,7.11,47.3149,21.6428,24.7325,24.6479,2.7,8.023,3.025,,3.025,1.9666,0.0531,20.09
40,B,Treated,-0.13,1.0479,,6.441,3.9543,85.6,0.29,8.779,30.3133,18.1976,21.2014,21.0773,4.1,7.765,2.141,,2.141,5.4377,0.0722,43.91
41,B,Native,-0.05,1.0483,,7.0817,5.118,48.3,0.376,6.203,16.477,20.8848,24.0353,23.8514,5.8,7.63,0.847,,0.847,4.1518,0.06,24.15
42,B,Native,-0.11,1.057,,6.723,3.9157,98.2,0.599,9.752,16.2899,21.2412,24.1658,23.8081,12.2,7.273,1.646,,1.646,7.9151,0.1773,59.98
43,B,Untreated,-0.06,1.0548,,9.0029,3.6328,208.3,0.789,12.17,15.431,21.5164,24.5529,24.068,16,7.03,2.093,,2.093,14.1057,0.1683,64.25
46,B,Native,-0.08,1.0438,,9.5656,6.5422,55,0.204,9.237,45.3547,20.034,23.0474,22.9381,3.6,7.534,0.9451,,0.9451,5.3913,0.6484,26.92
47,B,Native,-0.03,1.0416,,8.3669,5.4364,66.7,0.336,9.743,29.0322,18.2293,21.327,21.1481,5.8,7.505,1.711,,1.711,6.6366,1.2686,24.83
48,B,Native,-0.27,1.0507,,8.6111,6.5924,36.4,0.149,8.364,56.138,19.0622,22.0826,21.9941,2.9,7.912,2.078,,2.078,1.4114,0.0429,28
49,B,Treated,-0.22,1.0491,,8.476,6.3817,39.3,0.132,8.126,61.6878,20.7039,23.7634,23.7005,2.1,7.902,0.7033,,0.7033,3.6632,0.4502,22.09
50,B,Untreated,-0.24,1.0539,,7.804,6.2017,31.1,0.362,5.968,16.4671,20.064,23.116,22.9384,5.8,7.751,1.265,,1.265,3.3918,3.4843,47.44
51,B,Treated,-0.18,1.0553,,8.2032,3.7367,166.6,0.727,11.875,16.3388,20.4852,23.581,23.2882,9.5,7.765,1.532,,7.532,8.1591,0.0901,38.36
52,B,Treated,-0.1,1.0526,,11.4732,4.8269,176.1,0.875,15.478,17.6926,26.8049,29.8391,29.4242,13.7,7.461,1.81,,7.87,9.3772,0.0887,50.51
53,B,Untreated,-0.13,1.0349,,15.9915,9.7905,70.8,0.514,7.792,15.1515,21.5018,24.5199,24.2813,7.9,8.162,1.094,,7.094,3.0472,2.5079,47.96
54,B,Native,-0.26,1.043,,15.2554,11.1143,41.1,0.087,2.293,26.4886,21.1606,24.1847,24.1472,1.2,8.165,4.78,,4.78,1.0133,0.0161,7.78
55,B,Native,-0.57,1.0559,,6.9787,5.9196,21.8,0.161,4.011,24.899,19.8775,22.9437,22.8432,3.3,7.829,1.054,,7.054,2.9745,1.7746,14.53
56,B,Untreated,-0.1,1.0413,,7.1271,5.9457,24.1,0.122,3.22,26.4115,18.8839,21.8784,21.817,2.1,7.625,8.938,,8.938,1.7071,0.0249,13.83
57,B,Treated,-0.07,1.0358,,7.6131,5.0724,62.9,0.582,8.6,14.7815,21.1677,24.226,23.8777,11.4,7.275,2.135,,2.135,7.0706,0.0579,43.18
58,B,Native,-0.33,1.0566,,7.2029,3.4928,152.3,0.3,7.25,24.1937,19.2264,22.2892,22.1492,4.6,7.63,1.089,,1.089,3.0454,0.033,22.49
